time,temperature,gas,humidity,pressure,altitude,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 15:52:29 2026,19.4821484375,178953,33.9004671946377,1003.2550859547076,83.54880340705738,0,0,0,0,0,0,111,32,4,0,0,0
Wed Feb 18 15:52:30 2026,19.495234375,180108,33.89035440119658,1003.2560558961549,83.54066290463678,0,0,0,0,0,0,111,32,4,0,0,0
Wed Feb 18 15:52:31 2026,19.5075390625,178191,33.88583705241019,1003.2505594165053,83.58679371773793,0,0,0,0,0,0,111,32,4,0,0,0
Wed Feb 18 15:52:32 2026,19.5169140625,180108,33.86404217167165,1003.2591795717859,83.51444663446522,0,0,0,0,0,0,147,44,7,0,0,0
Wed Feb 18 15:52:33 2026,19.524921875,182263,33.85912336331823,1003.2569154565957,83.5334488107283,0,0,0,0,0,0,147,44,7,0,0,0
Wed Feb 18 15:52:34 2026,19.529609375,181868,33.83689342941732,1003.2646738731772,83.46833442379808,0,0,0,0,0,0,147,44,7,0,0,0
Wed Feb 18 15:52:35 2026,19.5346875,178571,33.8203688872724,1003.2575603714492,83.52803619136067,0,1,1,0,1,1,171,52,8,0,0,0
Wed Feb 18 15:52:36 2026,19.5419140625,182263,33.809712111704414,1003.2557267946644,83.54342497939518,0,1,1,0,1,1,171,52,8,0,0,0
Wed Feb 18 15:52:37 2026,19.5508984375,182860,33.804885488641325,1003.2636995287411,83.47651182265874,0,1,1,0,1,1,171,52,8,0,0,0
Wed Feb 18 15:52:38 2026,19.5532421875,181670,33.788108460322796,1003.2606813493823,83.50184259410692,0,1,1,0,1,1,171,52,8,0,0,0
Wed Feb 18 15:52:39 2026,19.5565625,180886,33.77142432091949,1003.2661767337754,83.4557213500105,0,1,1,0,1,1,171,52,8,0,0,0
Wed Feb 18 15:52:40 2026,19.5622265625,183662,33.76628852451792,1003.2703781874063,83.42045984756845,0,1,1,0,1,1,171,52,8,0,0,0
Wed Feb 18 15:52:41 2026,19.56828125,182462,33.761189272225515,1003.2700529925481,83.42318910328547,0,1,1,0,1,1,183,55,12,0,0,0
Wed Feb 18 15:52:42 2026,19.5704296875,180690,33.72740887458059,1003.2684356897214,83.43676261571389,0,1,1,0,1,1,183,55,12,0,0,0
Wed Feb 18 15:52:43 2026,19.573359375,180886,33.710694365512076,1003.2646626108783,83.46842894506445,0,1,1,0,1,1,183,55,12,0,0,0
Wed Feb 18 15:52:44 2026,19.578046875,184675,33.70546901476723,1003.2603499249105,83.50462415473973,0,1,1,0,1,1,189,57,12,0,0,0
Wed Feb 18 15:52:45 2026,19.5856640625,183662,33.70617879375588,1003.2660589908429,83.45670953179608,0,1,1,0,1,1,189,57,12,0,0,0
Wed Feb 18 15:52:46 2026,19.5946484375,184066,33.69003017680972,1003.2671329214967,83.44769635133586,0,1,1,0,1,1,189,57,12,0,0,0
Wed Feb 18 15:52:47 2026,19.6044140625,182860,33.68527828593257,1003.2608771894422,83.50019895903645,0,1,1,0,1,1,198,60,12,0,0,0
Wed Feb 18 15:52:48 2026,19.6126171875,184675,33.69170420289832,1003.2572084246177,83.53098999836561,0,1,1,0,1,1,198,60,12,0,0,0
Wed Feb 18 15:52:49 2026,19.61984375,185288,33.66973143642415,1003.2553721167347,83.54640171226944,0,1,1,0,1,1,198,60,12,0,0,0
Wed Feb 18 15:52:50 2026,19.626875,185493,33.653403672195914,1003.2532123076701,83.56452852715749,0,1,1,0,1,1,189,55,9,0,0,0
Wed Feb 18 15:52:51 2026,19.6346875,185288,33.65413100398979,1003.2575187488693,83.52838551984625,0,1,1,0,1,1,189,55,9,0,0,0
Wed Feb 18 15:52:52 2026,19.6399609375,185288,33.64330100104527,1003.2576231023403,83.52750970582996,0,1,1,0,1,1,189,55,9,0,0,0
